ORIGINAL	SEMI-EDITED	DUPLES REMOVED			
$IO_AUTO_CFG	$IO_AUTO_CFG	$A_CFG[].$AXIS_NUM[]			
$MACROTABLE[].$SYS_LEV_MSK	$MACROTABLE[].$SYS_LEV_MSK	$AF_MOINF_DT[].$CUR_ACT_SPD			
$REFPOS2[].$COMMENT	$REFPOS2[].$COMMENT	$AP_PROC_DSB			
$REFPOS2[].$ENABLED	$REFPOS2[].$ENABLED	$AP_SELAP[]			
$REFPOS2[].$DOUT_INDX	$REFPOS2[].$DOUT_INDX	$APPLICATION[]			
$REFPOS2[].$PERCHPOS[]	$REFPOS2[].$PERCHPOS[]	$ASBN_CONFIG.$POS_CHECK			
$REFPOS2[].$PERCHTOL[]	$REFPOS2[].$PERCHTOL[]	$ASSIGN_ID			
$REFPOS2[].$HOMEPOS	$REFPOS2[].$HOMEPOS	$ASSIGN_TYPE			
$REFPOS3[].$COMMENT	$REFPOS3[].$COMMENT	$ATCELLSETUP.$PRODRSM_SPD			
$REFPOS3[].$ENABLED	$REFPOS3[].$ENABLED	$ATCELLSETUP.$PRODRUN_SPD			
$REFPOS3[].$DOUT_INDX	$REFPOS3[].$DOUT_INDX	$ATUN.$INIT_FILTER			
$REFPOS3[].$PERCHPOS[]	$REFPOS3[].$PERCHPOS[]	$ATUN.$K6_FOUTDLY			
$REFPOS3[].$PERCHTOL[]	$REFPOS3[].$PERCHTOL[]	$ATUN.$K6_OVSLIMIT			
$REFPOS3[].$HOMEPOS	$REFPOS3[].$HOMEPOS	$ATUN.$MGN_CLSTH			
$REFPOS3[].$COMMENT	$REFPOS3[].$COMMENT	$ATUN.$MIN_CLSTH			
$REFPOS3[].$ENABLED	$REFPOS3[].$ENABLED	$ATUN.$STD_CLSTH			
$REFPOS3[].$DOUT_INDX	$REFPOS3[].$DOUT_INDX	$AUTOBACKUP.$ENABLE			
$REFPOS3[].$PERCHPOS[]	$REFPOS3[].$PERCHPOS[]	$AUTOEX_CNF2.$CLOSEST_ENB			
$REFPOS3[].$PERCHTOL[]	$REFPOS3[].$PERCHTOL[]	$AUTOEX_CONF.$ENABLE			
$REFPOS3[].$HOMEPOS	$REFPOS3[].$HOMEPOS	$AUTOEX_PORT.$AVAIL_DO_I[]			
$sgprsmsgcfg[]	$sgprsmsgcfg[]	$AUTOEX_PORT.$EXEC_DO_I[]			
$sgprsmsgcfg[	$sgprsmsgcfg[]	$AUTOMESSAGE			
$AUTOEX_CONF.$ENABLE	$AUTOEX_CONF.$ENABLE	$AWAY_ACC			
$AUTOEX_CNF2.$CLOSEST_ENB	$AUTOEX_CNF2.$CLOSEST_ENB	$AWAY_TERM			
$TBJ_GRP[].$FLEX[]	$TBJ_GRP[].$FLEX[]	$AWEANLG[].$WFS.$CMD			
$TBJ_GRP[].$FLEX[]	$TBJ_GRP[].$FLEX[]	$AWEFBLG_CNT[]			
$DCS_C_SIR[]	$DCS_C_SIR[]	$AWEIOEX[].$WELD_ENABLE.$PORT_NUM			
$SFZN_CFG.$ENABLE	$SFZN_CFG.$ENABLE	$AWEIOEX[].$WELD_SPEED.$SLOPE			
$SLCELLIO[].DO_WAIT_PLCI	$SLCELLIO[].DO_WAIT_PLCI	$AWEOTF[].$INC_AMPS			
$CONDET_CFG.$EXT_MASK	$CONDET_CFG.$EXT_MASK	$AWEOTF[].$INC_FREQ			
$CONDET_CFG.$EXT_DATA[].$PROG_NAME	$CONDET_CFG.$EXT_DATA[].$PROG_NAME	$AWEOTF[].$INC_PKAMPS			
$CONDET_CFG.$EXT_DATA[].$VAR_NAME	$CONDET_CFG.$EXT_DATA[].$VAR_NAME	$AWEOTF[].$INC_VOLTS			
$SFZN_CFG.$ENABLE	$SFZN_CFG.$ENABLE	$AWEPCR[].$BFEED_SPEED			
$CONDET_CFG.$EXT_DATA[].$REG_NUM	$CONDET_CFG.$EXT_DATA[].$REG_NUM	$AWEPCR[].$ENB_WLD_SPD			
$CONDET_CFG.$EXT_DATA[].$STYLE	$CONDET_CFG.$EXT_DATA[].$STYLE	$AWEPCR[].$FEED_ENABLE			
$CONDET_CFG.$EXT_DATA[].$PROG_NAME	$CONDET_CFG.$EXT_DATA[].$PROG_NAME	$AWEPCR[].$H_INCH_RATE			
